smsa66,smsa76,nearc2,nearc4,nearc4a,nearc4b,ed76,ed66,age76,daded,nodaded,momed,nomomed,momdad14,sinmom14,step14,south66,south76,lwage76,famed,black,enroll76,kww,iqscore,mar76,libcrd14,exp76
no,yes,no,no,no,no,18,12,27,9.94,yes,10.25,yes,no,no,no,yes,no,6.620073,9,yes,no,39.0,,yes,yes,3
yes,yes,no,yes,no,yes,10,10,30,9.94,yes,5.0,yes,no,yes,no,yes,yes,6.135565,9,yes,no,29.0,,yes,no,14
yes,yes,yes,yes,yes,no,12,9,25,9.94,yes,11.0,yes,no,no,no,yes,no,6.553934,9,no,no,44.0,127.0,yes,yes,7
no,yes,yes,no,no,no,13,9,24,8.0,no,7.0,no,yes,no,no,yes,yes,5.857933,8,no,yes,35.0,117.0,6,yes,5
yes,yes,yes,yes,yes,no,12,12,33,9.94,yes,10.25,yes,yes,no,no,no,no,6.562444,9,no,no,43.0,101.0,yes,no,15
yes,yes,yes,yes,yes,no,18,10,25,9.94,yes,4.0,yes,no,yes,no,no,no,6.594413,9,no,no,36.0,135.0,yes,yes,1
yes,yes,no,yes,yes,no,18,13,32,16.0,no,16.0,no,yes,no,no,no,no,7.4955419999999995,1,no,no,38.0,109.0,5,yes,8
yes,yes,no,yes,no,yes,16,9,24,12.0,no,12.0,no,yes,no,no,no,no,5.934894,3,no,no,41.0,108.0,6,no,2
yes,yes,yes,yes,yes,no,13,9,24,13.0,no,16.0,no,yes,no,no,no,no,6.001415,1,no,no,24.0,83.0,6,yes,5
yes,yes,no,yes,yes,no,12,11,27,9.94,yes,11.0,yes,no,yes,no,no,no,6.001415,9,yes,no,32.0,97.0,6,yes,9
no,no,no,no,no,no,16,10,26,12.0,no,12.0,no,yes,no,no,no,no,6.383507,3,no,no,39.0,119.0,yes,yes,4
no,no,no,yes,no,yes,16,15,32,9.94,yes,12.0,yes,no,yes,no,yes,yes,6.74052,4,no,no,44.0,106.0,yes,no,10
yes,yes,yes,yes,yes,no,12,11,27,12.0,no,10.0,no,yes,no,no,no,no,6.476973,5,no,no,26.0,,yes,yes,9
yes,yes,no,no,no,no,16,9,26,12.0,no,12.0,no,yes,no,no,yes,yes,6.240276000000001,3,no,no,34.0,97.0,yes,yes,4
yes,yes,no,yes,yes,no,12,11,27,12.0,no,10.0,no,yes,no,no,no,no,7.0030660000000005,5,no,no,37.0,101.0,yes,yes,9
yes,yes,yes,yes,yes,no,10,10,32,9.94,yes,9.0,yes,yes,no,no,no,no,5.257495,9,yes,no,37.0,86.0,4,yes,16
no,no,no,yes,no,yes,17,15,32,12.0,no,14.0,no,yes,no,no,yes,yes,5.686975,2,no,no,34.0,106.0,6,yes,9
yes,yes,yes,yes,yes,no,13,8,24,10.0,no,11.0,no,no,no,yes,yes,yes,6.075346,7,yes,no,26.0,,6,yes,5
yes,yes,yes,yes,yes,no,16,10,25,16.0,no,14.0,no,yes,no,no,yes,yes,6.095825,1,no,no,32.0,112.0,6,yes,3
no,yes,no,no,no,no,16,11,26,13.0,no,12.0,no,yes,no,no,yes,yes,6.610696000000001,2,no,no,29.0,112.0,yes,yes,4
yes,yes,yes,yes,yes,no,13,10,25,9.94,yes,12.0,yes,no,yes,no,no,no,6.490724,4,no,no,29.0,105.0,6,yes,6
no,no,no,no,no,no,13,8,24,12.0,no,10.25,no,no,no,no,no,no,5.953243,5,no,no,21.0,,yes,no,5
yes,yes,yes,yes,yes,no,18,16,32,9.94,yes,10.0,yes,yes,no,no,no,no,7.103322,9,no,no,49.0,127.0,6,yes,8
yes,yes,no,yes,no,yes,17,8,24,18.0,no,16.0,no,yes,no,no,no,no,5.298317,1,no,yes,35.0,,6,yes,1
no,yes,yes,no,no,no,17,14,30,8.0,no,8.0,no,yes,no,no,yes,no,6.437752,8,yes,no,30.0,,6,no,7
yes,yes,no,no,no,no,14,14,31,12.0,no,12.0,no,yes,no,no,yes,yes,5.953243,3,no,no,37.0,105.0,yes,yes,11
no,no,no,no,no,no,16,8,24,12.0,no,10.0,no,yes,no,no,yes,yes,5.940171,5,yes,no,16.0,,yes,no,2
yes,yes,yes,no,no,no,12,12,28,9.94,yes,10.25,yes,no,yes,no,yes,yes,6.498282,9,yes,no,16.0,77.0,yes,yes,10
yes,yes,yes,yes,yes,no,15,15,34,12.0,no,8.0,no,yes,no,no,no,no,7.716015,5,no,no,45.0,111.0,yes,yes,13
yes,yes,yes,yes,yes,no,15,13,28,12.0,no,12.0,no,yes,no,no,no,no,6.543912000000001,3,no,no,47.0,128.0,yes,yes,7
yes,yes,no,yes,no,yes,14,8,24,17.0,no,14.0,no,yes,no,no,yes,yes,6.194406,1,no,no,34.0,,6,yes,4
no,no,no,no,no,no,10,9,25,12.0,no,9.0,no,yes,no,no,yes,yes,5.7037830000000005,5,no,no,38.0,117.0,4,no,9
yes,yes,no,yes,no,yes,12,10,26,12.0,no,12.0,no,yes,no,no,no,no,6.593045,3,no,no,23.0,87.0,yes,no,8
no,yes,no,no,no,no,12,8,24,9.94,yes,10.25,yes,no,no,no,yes,no,5.948035,9,yes,no,30.0,,yes,no,6
yes,yes,no,yes,yes,no,12,11,27,12.0,no,9.0,no,yes,no,no,no,no,6.280396,5,no,no,34.0,103.0,4,yes,9
yes,yes,no,yes,no,yes,12,12,29,9.0,no,10.0,no,no,no,yes,no,no,6.39693,7,yes,no,31.0,54.0,yes,no,11
yes,yes,yes,no,no,no,14,11,26,12.0,no,11.0,no,yes,no,no,yes,yes,6.184149,5,yes,no,43.0,111.0,5,yes,6
yes,yes,no,no,no,no,12,10,26,12.0,no,8.0,no,no,no,yes,no,no,6.200508999999999,5,no,no,34.0,104.0,yes,no,8
yes,yes,yes,yes,yes,no,18,12,27,12.0,no,12.0,no,yes,no,no,no,no,5.7037830000000005,3,no,no,44.0,134.0,6,yes,3
yes,yes,yes,yes,yes,no,12,12,34,12.0,no,12.0,no,yes,no,no,no,no,6.746411999999999,3,no,no,40.0,97.0,yes,yes,16
yes,no,no,no,no,no,12,9,24,5.0,no,12.0,no,yes,no,no,yes,no,6.295266000000001,6,no,no,31.0,100.0,yes,no,6
